label,title,index,depth,Actually Position
2,"Bacterial and fungal infections in acute-on-chronic liver failure: prevalence, characteristics and impact on prognosis.",1,2,C01.252
2,Use of (1???3)-??-d-glucan for diagnosis and management of invasive mycoses in HIV-infected patients.,2,2,C01.703
2,Impact of a change in protected environment on the occurrence of severe bacterial and fungal infections in children undergoing hematopoietic stem cell transplantation.,3,2,C01.252
2,Relationship between death and infections among patients hospitalized in internal medicine departments: a prevalence and validation study.,4,1,C01
2,Bacterial and fungal infections in the early post-transplant period after kidney transplantation: etiological agents and their susceptibility.,5,2,C01.252
2,Impact of Antibiotic-Resistant Bacterial and Fungal Infections in Outcome of Acute Pancreatitis.,6,1,C01
2,Systemic inflammatory markers and aspiration cell count may not differentiate bacterial from fungal prosthetic infections.,7,1,C01
2,[Frequency of invasive fungal infections in a Mexican High-Specialty Hospital. Experience of 21 years].,8,3,C01.703.492
2,[Epidemiology of Visceral Mycoses in Autopsy Cases in 2011].,9,2,C01.703
2,Impact of the microbial derived short chain fatty acid propionate on host susceptibility to bacterial and fungal infections in vivo.,10,2,C01.252
2,Epidemiology of bacterial infections in patients with liver cirrhosis. Experience in a Spanish tertiary health center.,11,2,C01.252
2,Spontaneous bacterial and fungal infections in genetically engineered mice: Is Escherichia coli an emerging pathogen in laboratory mouse?,12,2,C01.252
2,Incidence and risk factors of bacterial and fungal infection during induction chemotherapy for high-risk neuroblastoma.,13,3,C01.252.200
2,Health Threats from Contamination of Spices Commercialized in Romania: Risks of Fungal and Bacterial Infections.,14,2,C01.252
2,Topical antifungal-corticosteroid combination therapy for the treatment of superficial mycoses: conclusions of an expert panel meeting.,15,2,C01.703
2,Single-donor granulocyte transfusions for improving the outcome of high-risk pediatric patients with known bacterial and fungal infections undergoing stem cell transplantation: a 10-year single-center experience.,16,1,C01
2,Massive Effect on LncRNAs in Human Monocytes During Fungal and Bacterial Infections and in Response to Vitamins A and D.,17,1,C01
2,Antimicrobial susceptibility of bacterial and fungal infections among infected diabetic patients.,18,1,C01
2,Oral mycoses in avian scavengers exposed to antibiotics from livestock farming.,19,2,C01.703
2,"Polymicrobial bacterial or fungal infections: incidence, spectrum of infection, risk factors, and clinical outcomes from a large hematopoietic stem cell transplant center.",20,1,C01
2,Infections in inflammatory bowel disease.,21,4,C01.539.635.500
2,"Timeline, epidemiology, and risk factors for bacterial, fungal, and viral infections in children and adolescents after allogeneic hematopoietic stem cell transplantation.",22,1,C01
2,Diagnosis and treatment of nonadjacent cryptococcal infections at the L1 and S1 vertebrae.,23,4,C01.703.181.500.500
2,Food safety in scavenger conservation: Diet-associated exposure to livestock pharmaceuticals and opportunist mycoses in threatened Cinereous and Egyptian vultures.,24,3,C01.539.597
2,Genetic polymorphisms in innate immunity receptors do not predict the risk of bacterial and fungal infections and acute rejection after liver transplantation.,25,1,C01
2,"A specific Toll-like receptor profile on T lymphocytes and values of monocytes correlate with bacterial, fungal, and cytomegalovirus infections in the early period of allogeneic stem cell transplantation.",26,1,C01
2,Increased risk of infections and infection-related mortality in children undergoing haematopoietic stem cell transplantation compared to conventional anticancer therapy: a multicentre nationwide study.,27,1,C01
2,Impact of an Institutional Antimicrobial Stewardship Program on Bacteriology of Surgical Site Infections in Cardiac Surgery.,28,4,C01.539.947.692
2,Bacterial and fungal infections in the early post-transplantation period after simultaneous pancreas-kidney transplantation: etiological agents and their susceptibility.,29,1,C01
2,"[Bacterial and fungal urinary tract infections: epidemiology, pathogenesis and clinical management].",30,3,C01.539.895
2,"A practical guide to the diagnosis, treatment, and prevention of neonatal infections.",31,3,C01.539.597
2,Pattern of bacterial and fungal infections in the first 3 months after pediatric living donor liver transplantation: an 11-year single-center experience.,32,1,C01
2,Transferrin-mediated iron sequestration as a novel therapy for bacterial and fungal infections.,33,1,C01
2,Severe infections in critically ill solid organ transplant recipients.,34,4,C01.539.947.692
2,Sirtuin 3 deficiency does not alter host defenses against bacterial and fungal infections.,35,1,C01
2,Emerging novel and antimicrobial-resistant respiratory tract infections: new drug development and therapeutic options.,36,3,C01.539.739
2,"Infections after lung transplantation: time of occurrence, sites, and microbiologic etiologies.",37,4,C01.539.947.692
2,"Radioimmunotherapy as a Novel Approach in HIV, Bacterial, and Fungal Infectious Diseases.",38,1,C01
2,The importance of fungal pathogens and antifungal coatings in medical device infections.,39,2,C01.703
2,"Emerging bacterial, fungal, and viral respiratory infections in transplantation.",40,2,C01.539
2,"Immune responses to bacterial and fungal infections in the silkworm, Bombyx mori.",41,1,C01
2,Surveillance of bacterial and fungal infections in the postoperative period following liver transplantation: a series from 2005-2011.,42,1,C01
2,"Genetic, immunological, and clinical features of patients with bacterial and fungal infections due to inherited IL-17RA deficiency.",43,1,C01
2,Invasive bacterial and fungal infections among hospitalized HIV-infected and HIV-uninfected children and infants in northern Tanzania.,44,3,C01.703.492
2,[Bacterial and fungal infections in kidney transplant recipients].,45,1,C01
2,Reduced Neutrophil Elastase Activity and Neutrophil Extracellular Traps in Pediatric Acute Myeloid Leukemia May Increase the Rate of Infections.,46,1,C01
2,Device-associated infections in the pediatric intensive care unit at the American University of Beirut Medical Center.,47,1,C01
2,Changing of bloodstream infections in a medical center neonatal intensive care unit.,48,1,C01
2,Respiratory infections associated with anti-TNF?? agents.,49,3,C01.539.739
0,Viruses.STRING: A Virus-Host Protein-Protein Interaction Database.,926,1,C02
0,The Heterologous Expression of the p22 RNA Silencing Suppressor of the Crinivirus Tomato Chlorosis Virus from Tobacco Rattle Virus and Potato Virus X Enhances Disease Severity but Does Not Complement Suppressor-Defective Mutant Viruses.,927,2,C02.782
0,Targeting CTCF to Control Virus Gene Expression: A Common Theme amongst Diverse DNA Viruses.,928,2,C02.256
0,Impact of Mutations in the Hemagglutinin of H10N7 Viruses Isolated from Seals on Virus Replication in Avian and Human Cells.,929,3,C02.782.620
0,Dinucleotide Composition in Animal RNA Viruses Is Shaped More by Virus Family than by Host Species.,930,2,C02.782
0,Concepts in Light Microscopy of Viruses.,931,1,C02
0,"Elimination of representative contaminant candidate list viruses, coxsackievirus, echovirus, hepatitis A virus, and norovirus, from water by coagulation processes.",932,1,C02
0,Metagenomic characterization of the virome associated with bovine respiratory disease in feedlot cattle identified novel viruses and suggests an etiologic role for influenza D virus.,933,4,C02.782.620.365
0,Avian Influenza Virus PB1 Gene in H3N2 Viruses Evolved in Humans To Reduce Interferon Inhibition by Skewing Codon Usage toward Interferon-Altered tRNA Pools.,934,3,C02.782.620
0,"Multiple Reassorted Viruses as Cause of Highly Pathogenic Avian Influenza A(H5N8) Virus Epidemic, the Netherlands, 2016.",935,4,C02.782.620.365
0,Specific Mutations in the PB2 Protein of Influenza A Virus Compensate for the Lack of Efficient Interferon Antagonism of the NS1 Protein of Bat Influenza A-Like Viruses.,936,4,C02.782.620.365
0,Analyses of Evolutionary Characteristics of the Hemagglutinin-Esterase Gene of Influenza C Virus during a Period of 68 Years Reveals Evolutionary Patterns Different from Influenza A and B Viruses.,937,4,C02.782.620.365
0,"Viruses in the environment - presence and diversity of bacteriophage and enteric virus populations in the Umhlangane River, Durban, South Africa.",938,1,C02
0,Establishment of the cross-clade antigen detection system for H5 subtype influenza viruses using peptide monoclonal antibodies specific for influenza virus H5 hemagglutinin.,939,4,C02.782.620.365
0,"Evaluation of the suitability of a plant virus, pepper mild mottle virus, as a surrogate of human enteric viruses for assessment of the efficacy of coagulation-rapid sand filtration to remove those viruses.",940,1,C02
0,"High Risk Blueberry Viruses by Region in North America; Implications for Certification, Nurseries, and Fruit Production.",941,1,C02
0,Infectious bursal disease virus in Algeria: Detection of highly pathogenic reassortant viruses.,942,3,C02.782.620
0,Seasonal Dynamics of Haptophytes and dsDNA Algal Viruses Suggest Complex Virus-Host Relationship.,943,2,C02.256
0,"Protective hybrid coating containing silver, copper and zinc cations effective against human immunodeficiency virus and other enveloped viruses.",944,4,C02.782.815.616
0,"Isolation and Genome Phylogenetic Analysis of Arthropod-Borne Viruses, Including Akabane Virus, from Mosquitoes Collected in Hunan Province, China.",945,2,C02.256
0,Attenuation of highly pathogenic avian influenza A(H5N1) viruses in Indonesia following the reassortment and acquisition of genes from low pathogenicity avian influenza A virus progenitors.,946,4,C02.782.620.365
0,"Chikungunya, Influenza, Nipah, and Semliki Forest Chimeric Viruses with Vesicular Stomatitis Virus: Actions in the Brain.",947,4,C02.782.620.365
0,Virus like particle-based vaccines against emerging infectious disease viruses.,948,3,C02.782.620
0,Tick-Borne Viruses and Biological Processes at the Tick-Host-Virus Interface.,949,4,C02.081.343.360
0,Assessment of the efficacy of membrane filtration processes to remove human enteric viruses and the suitability of bacteriophages and a plant virus as surrogates for those viruses.,950,1,C02
0,HCIV-1 and Other Tailless Icosahedral Internal Membrane-Containing Viruses of the Family Sphaerolipoviridae.,951,1,C02
0,Interactions between Enteric Bacteria and Eukaryotic Viruses Impact the Outcome of Infection.,952,1,C02
0,Viral Metagenomic-Based Screening of Sugarcane from Florida Reveals Occurrence of Six Sugarcane-Infecting Viruses and High Prevalence of Sugarcane yellow leaf virus.,953,1,C02
0,Co-infection with Influenza Viruses and Influenza-Like Virus During the 2015/2016 Epidemic Season.,954,4,C02.782.620.365
0,Development of Clade-Specific and Broadly Reactive Live Attenuated Influenza Virus Vaccines against Rapidly Evolving H5 Subtype Viruses.,955,4,C02.782.620.365
0,Susceptibility Genes to Plant Viruses.,956,1,C02
0,Characterization of Monoclonal Antibodies against HA Protein of H1N1 Swine Influenza Virus and Protective Efficacy against H1 Viruses in Mice.,957,4,C02.782.620.365
0,Genes for Membrane Transport Proteins: Not So Rare in Viruses.,958,1,C02
0,"Association of interferon lambda-1 with herpes simplex viruses-1 and -2, Epstein-Barr virus, and human cytomegalovirus in chronic periodontitis.",959,4,C02.256.466.245
0,Immunology of bats and their viruses: challenges and opportunities.,960,4,C04.588.945.956
0,"Replication of H9 influenza viruses in the human ex vivo respiratory tract, and the influence of neuraminidase on virus release.",961,4,C02.782.620.365
0,"Amalga-like virus infecting Antonospora locustae, a microsporidian pathogen of grasshoppers, plus related viruses associated with other arthropods.",962,2,C02.782
0,"Comparison of Adjuvanted-Whole Inactivated Virus and Live-Attenuated Virus Vaccines against Challenge with Contemporary, Antigenically Distinct H3N2 Influenza A Viruses.",963,4,C02.782.620.365
0,Influenza and respiratory syncytial virus are the major respiratory viruses detected from prospective testing of pediatric and adult coronial autopsies.,964,4,C02.782.620.365
0,Challenge for One Health: Co-Circulation of Zoonotic H5N1 and H9N2 Avian Influenza Viruses in Egypt.,965,4,C02.782.620.365
0,Generation of a reassortant avian influenza virus H5N2 vaccine strain capable of protecting chickens against infection with Egyptian H5N1 and H9N2 viruses.,966,4,C02.782.620.365
0,European bats as carriers of viruses with zoonotic potential.,967,1,C02
0,Strengthening the Interaction of the Virology Community with the International Committee on Taxonomy of Viruses (ICTV) by Linking Virus Names and Their Abbreviations to Virus Species.,968,1,C02
0,Comprehensive Surveys of Bean common mosaic virus and Bean common mosaic necrosis virus and Molecular Evidence for Occurrence of Other Phaseolus vulgaris Viruses in Tanzania.,969,1,C02
0,"The use of pseudotypes to study viruses, virus sero-epidemiology and vaccination.",970,1,C02
0,The first phlebo-like virus infecting plants: a case study on the adaptation of negative-stranded RNA viruses to new hosts.,971,2,C02.782
0,A two dose immunization with an inactivated reassortant H5N2 virus protects chickens against lethal challenge with homologous 2.3.2.1 clade and heterologous 2.2 clade highly pathogenic avian influenza H5N1 viruses.,972,4,C02.782.620.365
0,"Varroa destructor Macula-like virus, Lake Sinai virus and other new RNA viruses in wild bumblebee hosts (Bombus pascuorum, Bombus lapidarius and Bombus pratorum).",973,2,C02.782
0,"Viruses of Eukaryotic Algae: Diversity, Methods for Detection, and Future Directions.",974,3,C02.782.620
0,Deep-Sea Hydrothermal Vent Viruses Compensate for Microbial Metabolism in Virus-Host Interactions.,975,1,C02
0,Changes to taxonomy and the International Code of Virus Classification and Nomenclature ratified by the International Committee on Taxonomy of Viruses (2018).,976,1,C02
0,Recent progress on gene silencing/suppression by virus-derived small interfering RNAs in rice viruses especially Rice grassy stunt virus.,977,2,C02.782
1,Occurrence of enteric parasitic infections among HIV-infected individuals and its relation to CD4 T-cell counts with a special emphasis on coccidian parasites at a tertiary care centre in South India.,1922,3,C03.752.250
1,A preface on advances in diagnostics for infectious and parasitic diseases: detecting parasites of medical and veterinary importance.,1923,2,C03.701
1,Practical parasitology courses and infection with intestinal parasites in students.,1924,2,C03.432
1,Molecular diagnosis in clinical parasitology: when and why?,1925,1,C03
1,One Health: parasites and beyond.,1926,1,C03
1,History of Medical Parasitology and Parasitic Infections in Iran.,1927,1,C03
1,"Parasitic infections detected by FLOTAC in zoo mammals from Warsaw, Poland.",1928,2,C03.432
1,[Concordance between the zinc sulphate flotation and centrifugal sedimentation methods for the diagnosis of intestinal parasites].,1929,2,C03.335
1,"Gastrointestinal parasites of canids, a latent risk to human health in Tunisia.",1930,2,C03.432
1,Intestinal parasites from the 2nd-5th century AD latrine in the Roman Baths at Sagalassos (Turkey).,1931,2,C03.432
1,"""Not a very nice subject."" Changing views of parasites and parasitology in the twentieth century.",1932,1,C03
1,Recovering parasites from mummies and coprolites: an epidemiological approach.,1933,1,C03
1,Parasitic infections on the shore of Lake Victoria (East Africa) detected by Mini-FLOTAC and standard techniques.,1934,1,C03
1,A synoptic overview of golden jackal parasites reveals high diversity of species.,1935,2,C03.701
1,"MALDI-TOF MS Profiling-Advances in Species Identification of Pests, Parasites, and Vectors.",1936,1,C03
1,"Parasites in stray dogs from Italy: prevalence, risk factors and management concerns.",1937,2,C03.701
1,Reestablishing rigor in archaeological parasitology.,1938,1,C03
1,Past Intestinal Parasites.,1939,2,C03.432
1,"Parasites as biological tags of marine, freshwater and anadromous fishes in North America from the Tropics to the Arctic.",1940,2,C03.701
1,"Childhood intestinal parasitic infection and sanitation predictors in rural Dembiya, northwest Ethiopia.",1941,2,C03.432
1,Occurrence of intestinal parasites among asylum seekers in Italy: A cross-sectional study.,1942,2,C03.432
1,"Enteric parasitic infection among HIV-infected patients visiting Tribhuvan University Teaching Hospital, Nepal.",1943,2,C03.432
1,Restriction enzyme digestion of host DNA enhances universal detection of parasitic pathogens in blood via targeted amplicon deep sequencing.,1944,1,C03
1,Parasitic zoonoses associated with dogs and cats: a survey of Portuguese pet owners' awareness and deworming practices.,1945,2,C03.701
1,"Prevalence of Gastrointestinal Parasitic Infections and Assessment of Deworming Program among Cattle and Buffaloes in Gampaha District, Sri Lanka.",1946,2,C03.701
1,"Prevalence of zoonotic intestinal parasites in household and stray dogs in rural areas of Hamadan, Western Iran.",1947,2,C03.701
1,"Intestinal parasitic infections and risk factors: a cross-sectional survey of some school children in a suburb in Accra, Ghana.",1948,2,C03.432
1,"Multiple origins of parasitic feminization: thelygeny and intersexuality in beach-hoppers are caused by paramyxid parasites, not microsporidia.",1949,1,C03
1,"Parasitic contamination of fresh vegetables sold at central markets in Khartoum state, Sudan.",1950,1,C03
1,Update on pathology of ocular parasitic disease.,1951,2,C03.300
1,Medical Parasitology Taxonomy Update: January 2012 to December 2015.,1952,1,C03
1,"Prehistoric Pathoecology as Represented by Parasites of a Mummy from the Perua??u Valley, Brazil.",1953,1,C03
1,"Mini-FLOTAC, an innovative direct diagnostic technique for intestinal parasitic infections: experience from the field.",1954,2,C03.432
1,Prevalence of Opportunistic Intestinal Parasites and Associated Factors among HIV Patients while Receiving ART at Arba Minch Hospital in Southern Ethiopia: A Cross-sectional Study.,1955,2,C03.432
1,High diversity of blood-associated parasites and bacteria in European wild cats in Bosnia and Herzegovina: A molecular study.,1956,3,C03.752.250
1,Identification of opportunistic enteric parasites among immunocompetent patients with diarrhoea from Northern India and genetic characterisation of Cryptosporidium and Microsporidia.,1957,2,C03.432
1,"Diagnosing Polyparasitism in a High-Prevalence Setting in Beira, Mozambique: Detection of Intestinal Parasites in Fecal Samples by Microscopy and Real-Time PCR.",1958,2,C03.432
1,Geospatial distribution of intestinal parasitic infections in Rio de Janeiro (Brazil) and its association with social determinants.,1959,2,C03.432
1,A European network for food-borne parasites (Euro-FBP): meeting report on 'Analytical methods for food-borne parasites in human and veterinary diagnostics and in food matrices'.,1960,2,C03.701
1,Identification of parasitic communities within European ticks using next-generation sequencing.,1961,1,C03
1,Investigation of gastrointestinal parasites of dairy cattle around Taiwan.,1962,2,C03.432
1,"Taxonomy, distribution and prevalence of parasites of tigerfish, Hydrocynus vittatus (Castelnau, 1861) in the Sanyati basin, Lake Kariba, Zimbabwe.",1963,2,C03.701
1,Application of PCR-based methods for diagnosis of intestinal parasitic infections in the clinical laboratory.,1964,2,C03.432
1,Parasites of importance for human health on edible fruits and vegetables in Nigeria: a systematic review and meta-analysis of published data.,1965,1,C03
1,Poliovirus and other enteroviruses in children infected with intestinal parasites in Nigeria.,1966,2,C03.432
1,"The parasitic fauna of the European bison (Bison bonasus) (Linnaeus, 1758) and their impact on the conservation. Part 1. The summarising list of parasites noted.",1967,1,C03
1,"Occurrence of gastrointestinal parasites in wild animals in State of Paran??, Brazil.",1968,2,C03.432
1,"The past, present and future of fluorescent protein tags in anaerobic protozoan parasites.",1969,1,C03
1,Parasites as biological tags of fish stocks: a meta-analysis of their discriminatory power.,1970,2,C03.701
1,Revealing the parasitic infection in diarrheic yaks by piloting high-throughput sequencing.,1971,1,C03
1,Anti-parasitic activity of polyether ionophores.,1972,1,C03
3,Prevalence of neoplasms in patients with acromegaly - the need for a national registry.,2887,1,C04
3,[Epidemiology of microsatellite instability across solid neoplasms].,2888,4,C04.588.274.476
3,A retrospective audit on usage of Diatrizoate Meglumine (Gastrografin<sup>??</sup>) for intestinal obstruction or constipation in patients with advanced neoplasms.,2889,1,C04
3,Neoplasms Reported With Liraglutide or Placebo in People With Type 2 Diabetes: Results From the LEADER Randomized Trial.,2890,1,C04
3,Development of neoplasms in pediatric patients with rheumatic disease exposed to anti-tumor necrosis factor therapies: a single Centre retrospective study.,2891,1,C04
3,Application of MRI for the Diagnosis of Neoplasms.,2892,1,C04
3,Use of 5-azacitidine for therapy-related myeloid neoplasms in patients with concomitant active neoplastic disease.,2893,4,C04.557.337.539
3,Radiologic Evaluation of Clinically Benign Rectal Neoplasms May Not Be Necessary Before Local Excision.,2894,4,C04.588.274.476
3,Fertility treatments and pediatric neoplasms of the offspring: results of a population-based cohort with a??median follow-up of 10 years.,2895,1,C04
3,Preleukaemic clonal haemopoiesis and risk of therapy-related myeloid neoplasms: a case-control study.,2896,4,C04.557.337.539
3,Unique and Novel Urinary Metabolomic Features in Malignant versus Benign Adrenal Neoplasms.,2897,1,C04
3,"Comparative Analysis of Methods for Detecting Isocitrate Dehydrogenase 1 and 2 Mutations and Their Metabolic Consequence, 2-Hydroxyglutarate, in Different Neoplasms.",2898,1,C04
3,The effectiveness of exercise-based rehabilitation to patients with myeloproliferative neoplasms-An explorative study.,2899,1,C04
3,Differences in Types and Incidence of Neoplasms in Wistar Han and Sprague-Dawley Rats.,2900,1,C04
3,Classifying the evolutionary and ecological features of neoplasms.,2901,1,C04
3,Co-occurrence of Myeloproliferative Neoplasms and Solid Tumors Is Attributed to a Synergism Between Cytoreductive Therapy and the Common TERT Polymorphism rs2736100.,2902,2,C04.651
3,Childhood neoplasms presenting at autopsy: A 20-year experience.,2903,1,C04
3,Influence of Demographic Determinants on the Number of Deaths Caused by Circulatory System Diseases in Comparison to the Number of Deaths Caused by Neoplasms in Slovak Regions from 1996-2014.,2904,1,C04
3,Urgent Chemotherapy for Life-Threatening Complications Related to Solid Neoplasms.,2905,1,C04
3,Public funding for medical research in relation to the burden of disease caused by cardiovascular diseases and neoplasms in Germany.,2906,1,C04
3,"Hematolymphoid neoplasms associated with rearrangements of PDGFRA, PDGFRB, and FGFR1.",2907,1,C04
3,[Pediatric myeloid neoplasms associated with eosinophilia and platelet-derived growth factor receptor beta gene rearrangement: a case report and literature review].,2908,1,C04
3,Risk of malignant neoplasms in acromegaly: a case-control study.,2909,1,C04
3,The 2017 WHO update on mature T- and natural killer (NK) cell neoplasms.,2910,1,C04
3,"CD30 Expression in Pediatric Neoplasms, Study of 585 Cases.",2911,1,C04
3,"Sunitinib for the treatment of benign and malignant neoplasms from von Hippel-Lindau disease: A single-arm, prospective phase II clinical study from the PREDIR group.",2912,1,C04
3,Serum Carbohydrate Antigen 19-9 in Differential Diagnosis of Benign and Malignant Pancreatic Cystic Neoplasms: A Meta-Analysis.,2913,1,C04
3,Genetic variation as a modifier of association between therapeutic exposure and subsequent malignant neoplasms in cancer survivors.,2914,3,C04.697.655
3,De Novo Malignant Neoplasms in Renal Transplant Patients.,2915,1,C04
3,[Relationship between the gene polymorphisms of oxidative metabolism enzyme of exogenous chemicals and the susceptibility to neoplasms].,2916,1,C04
3,Cardiovascular Events: A Challenge in JAK2-positive Myeloproliferative Neoplasms.,2917,1,C04
3,[Pathologic characteristics of malignant neoplasms occurring in the elderly].,2918,2,C04.651
3,Prone Transradial Catheterization for Combined Single-Session Transarterial Embolization and Percutaneous Posterior Approach Cryoablation of Solid Neoplasms.,2919,1,C04
3,Neoplastic disease after liver transplantation: Focus on de novo neoplasms.,2920,1,C04
3,[Full thickness resection device (FTRD). Experience and outcome for benign neoplasms of the rectum and colon].,2921,4,C04.588.274.476
3,Preexisting Interstitial Lung Disease and Lung Injury Associated with Irinotecan in Patients with Neoplasms.,2922,1,C04
3,Somatic and Germline <i>TP53</i> Alterations in Second Malignant Neoplasms from Pediatric Cancer Survivors.,2923,2,C04.692
3,Percutaneous transhepatic cholangial drainage combined with percutaneous endoscopic jejunostomy for maintaining nutrition state in patients with advanced ampullary neoplasms.,2924,4,C04.588.274.120
3,"Mesenchymal Neoplasms of the Genitourinary System: A Selected Review with Recent Advances in Clinical, Diagnostic, and Molecular Findings.",2925,3,C04.557.450
3,"Association between vascular endothelial growth factor rs699947 polymorphism and the risk of three major urologic neoplasms (bladder cancer, prostate cancer, and renal cell carcinoma): A meta-analysis involving 11,204 subjects.",2926,3,C04.588.945
3,Second Malignant Neoplasms in Childhood Cancer Survivors Treated in a Tertiary Paediatric Oncology Centre.,2927,2,C04.692
3,Patients with pancreatic cystic neoplasms can benefit from management of multidisciplinary team: Experience from a Chinese academic center.,2928,4,C04.588.274.761
3,Management and prognosis of low-grade appendiceal mucinous neoplasms: A clinicopathologic analysis of 50 cases.,2929,4,C04.557.470.590
3,"The Problem of High-Grade Gastroenteropancreatic Neuroendocrine Neoplasms: Well-Differentiated Neuroendocrine Tumors, Neuroendocrine Carcinomas, and Beyond.",2930,4,C04.588.274.476
3,"Neoplasms (C00-D48) in Osijek-Baranja County from 2001 to 2006, Croatia.",2931,1,C04
3,Variability of the Ki-67 proliferation index in gastroenteropancreatic neuroendocrine neoplasms - a single-center retrospective study.,2932,4,C04.588.274.476
3,Dietary patterns and risk of advanced colorectal neoplasms: A large population based screening study in Germany.,2933,4,C04.588.274.476
3,Correlation between MGMT promoter methylation and response to temozolomide-based therapy in neuroendocrine neoplasms: an observational retrospective multicenter study.,2934,4,C04.588.274.761
3,Risk factors for development of internal neoplasms in koi carp Cyprinus carpio koi.,2935,1,C04
3,JAK Inhibition Impairs NK Cell Function in Myeloproliferative Neoplasms.,2936,4,C04.588.448.200
3,Concomitant use of corticosteroids and immune checkpoint inhibitors in patients with hematologic or solid neoplasms: A systematic review.,2937,1,C04
